id,section,test,flag,finding,confidence,source,owner_agent
"A16-14","A16","Regulatory-role conflicts","Amber","1 former BCB president","4","[S7; S8]","people-integrity-dossiers"
"A16-15","A16","Integrity buzz (forums / social — tier 10)","Green","0 unresolved items","3","[S12]","people-integrity-dossiers"
"A16-16","A16","Per-person overall grade","Amber","24 people","2","[S1–S11]","people-integrity-dossiers"
"A16-17","A16","Resignation-timing pattern — the ""smart rat"" test","Insufficient","24 people","1","[S1]","people-integrity-dossiers"
"A16-18","A16","Association with past accounting failures","Insufficient","0 attributed associations","2","[S1; S11]","people-integrity-dossiers"
"A16-19","A16","Professional-licence discipline","Insufficient","24 people","1","[S1]","people-integrity-dossiers"
"A16-20","A16","Public claims vs filed numbers","Insufficient","0 contradictions found","2","[S1; S11]","people-integrity-dossiers"
"A17-01","A17","Discovery completeness","Amber","6 Phase-1 recipes run","3","[S1–S4]","people-integrity-dossiers"
"A17-02","A17","Corporate lineage & former names","Green","3 years holding/company gap explained","3","[S1–S3]","people-integrity-dossiers"
"A17-03","A17","Predecessor / phoenix test","Green","0 phoenix facts found","3","[S1–S3]","people-integrity-dossiers"
"A17-04","A17","Brand & trademark ownership","Green","1 NUBANK mark verified","4","[S1; S4]","people-integrity-dossiers"
"A17-05","A17","Registered-address cluster","Green","1 disclosed group co-address","3","[S1; S3]","people-integrity-dossiers"
"A17-06","A17","Founder & past-controller trail","Amber","3 named founders","3","[S2]","people-integrity-dossiers"
"A17-07","A17","Cross-linkage to adverse networks","Green","0 Material-equivalent links","3","[S5; S6]","people-integrity-dossiers"
"A17-08","A17","Undisclosed-network reconciliation","Green","0 disclosable-and-omitted","3","[S1; S3]","people-integrity-dossiers"
"A17-09","A17","Scope boundary declared","Amber","18 branches","5","[Section 5]","people-integrity-dossiers"
"A17-10","A17","Aggregator-conflict resolution","Amber","0 conflicts resolved","2","[S1–S3]","people-integrity-dossiers"
