agent,source_id,source_type,filename_or_filing,period,page_or_section,date,confidence_1_to_5,used_for
05_board-and-shareholder-rights,S-13,"Exchange filing (primary, web-retrieved)","`SEC Form 6-K, AGM results, Ex-99.1` — `sec.gov/Archives/edgar/data/0001691493/000129281426004121/ex99-1.htm`",AGM 2026-08-06,Ex-99.1,filed 2026-08-07; read 2026-09-06,4,"Independently verified Proposal 1 at 99.88% and Proposal 2 at 96.23% of votes cast, and the nine re-elected names. Not in the frozen pool — retrieved from EDGAR and labelled as such"
05_board-and-shareholder-rights,S-14,"Web (secondary, unverified)",Press summaries of the same 6-K (quorum figure ~23bn shares / 94.30%),AGM 2026-08-06,—,read 2026-09-06,2,"Upper-case input to the non-founder-dissent derivation only, explicitly labelled unverified; the floor case uses no part of it"
05_board-and-shareholder-rights,S-15,Vendor export,`Capital IQ → Board Members export (NU)`,current,Board Members sheet,as-of Aug-2026,3,Other-directorship counts; source of the Campos Neto roster conflict resolved against the filing
05_board-and-shareholder-rights,S-16,Vendor export,`Capital IQ → Committees export (NU)`,current,Committees sheet,as-of Aug-2026,3,Committee membership cross-check against Item 6.C
05_board-and-shareholder-rights,S-17,Vendor export,`Capital IQ → Takeover Defenses / Corporate Governance export (NU)`,current,Corporate Governance + Takeover Defenses sheets,as-of Aug-2026,3,"Charter/bylaw amendment thresholds, blank-check preferred, board-performance-review and executive-session guideline text, vacancy article text; one conflict with the filing on director removal, resolved to the filing"
05_board-and-shareholder-rights,S-18,Vendor export,`Capital IQ → Key Developments export (NU)`,2026,"AGM agenda, buyback, CFO succession",as-of Aug-2026,3,"AGM agenda, US$1.0bn buyback (4 Jun 2026), CFO succession timeline"
05_board-and-shareholder-rights,S-19,Vendor export,`Capital IQ → Financials → Historical Capitalization export (NU)`,Q1-2025 – Q2-2026,Shares Out.,as-of Aug-2026,3,Share-count trajectory / dilution
05_board-and-shareholder-rights,S-20,Vendor export,`Transaction Summary → M&A-Private Placements and Public Offerings exports (NU)`,2016–2026,Transaction Summary,as-of Aug-2026,3,No post-IPO raise; no group merger; Banco Porto Real acquisition; buyback
05_board-and-shareholder-rights,S-21,Upstream module,`analyses/NU_2026-09-06/management-governance/07_people-integrity-dossiers.md`,2026,"§1 Person Register, §2.5, §2.6, §3, §6 A17-10",2026-09-06,4,A1-05 grades consumed (not re-run); Sands/Leone/Reses/Marcus context; Moritz roster conflict; Campos Neto resolution
05_board-and-shareholder-rights,S-22,Upstream module,`analyses/NU_2026-09-06/business-model/01_disqualifier-scan.md`,2026,"Item 3 (RPT), Threshold table",2026-09-06,4,RPT disqualifier cross-reference (0.76% of total expenses vs >25%)
05_board-and-shareholder-rights,S-23,Upstream module,`analyses/NU_2026-09-06/business-model/08_competitive-map.md`,2026,Peer set,2026-09-06,4,Peer identification — used only to state that no peer governance data exists in the pool
06_candor-and-disclosure-quality,S1,Verbatim earnings transcript,"`Nu Holdings Ltd., Q2 2026 Earnings Call` (S&P Global Market Intelligence)",Q2 FY2026,Prepared remarks; Q&A; opening disclaimer,2026-08-13,3,"Tax silence (0 occurrences); efficiency-ratio reiteration and Q1 reversal; risk-adjusted NIM ""not a floor""; Desenrola answer; managerial-framework disclaimer; CEO tone"
06_candor-and-disclosure-quality,S2,Verbatim earnings transcript,"`Nu Holdings Ltd., Q1 2026 Earnings Call`",Q1 FY2026,Prepared remarks; Q&A; Call Participants,2026-05-14,3,"ETR guide 15–20% and managerial 30–35%; ""should not be extrapolated as our run rate""; core efficiency ratio 16.6%; consensus ""mix of IFRS and managerial frameworks""; CFO identity (Lago)"
06_candor-and-disclosure-quality,S3,Verbatim earnings transcript,"`Nu Holdings Ltd., Q4 2025 Earnings Call`",Q4 FY2025,Prepared remarks; Q&A,2026-02-25,3,Managerial P&L introduction and rationale; three itemised one-offs (+58 / −25 / −22 US$m); cost-to-serve commitment absent for the first time
06_candor-and-disclosure-quality,S4,Verbatim earnings transcript,"`Nu Holdings Ltd., Q1 2025 Earnings Call`",Q1 FY2025,Prepared remarks; Q&A,2025-05-13,3,"8.2% risk-adjusted NIM, 130bp decomposition; Leduc Q&A exchange"
06_candor-and-disclosure-quality,S5,Verbatim earnings transcript,"`Nu Holdings Ltd., Q4 2024 Earnings Call`",Q4 FY2024,Prepared remarks,2025-02-20,3,"Cost-to-serve commitment (""at or below $1… for the foreseeable future""; delivered US$0.80)"
06_candor-and-disclosure-quality,S6,Verbatim earnings transcript,"`Nu Holdings Ltd., Q4 2023 Earnings Call`",Q4 FY2023,Prepared remarks,2024-02-22,3,"Cost to serve as ""third pillar of our strategy""; US$0.90; the US$1 ceiling"
06_candor-and-disclosure-quality,S7,Verbatim earnings transcript,"`Nu Holdings Ltd., Q3 2025 Earnings Call`",Q3 FY2025,Prepared remarks,2025-11-13,3,"Last spoken cost-to-serve reference (Mexico only, no consolidated number)"
06_candor-and-disclosure-quality,S8,Verbatim earnings transcripts (set),`Nu Holdings Ltd.` Q4 2021 – Q3 2024 Earnings Calls (13 further transcripts),FY2021–FY2024,Full text,2022-02-22 → 2024-11-13,3,"KPI-term frequency series (ARPAC, cost to serve, efficiency ratio, activity rate, NPL buckets, Adjusted Net Income, FX-neutral); confirming ""core efficiency ratio"" and ""managerial"" are absent before 2026 / Q4'25"
06_candor-and-disclosure-quality,S9,Company results presentation,`Nu Holdings Ltd. — Form Preliminary Interim Report (Q2'26 Earnings Presentation)`,Q2 FY2026,"Slide 22 (efficiency ratio + Notes 1–2); Appendix slide 28 (Monthly ARPAC, Cost to Serve, Notes 1–3); ""Definitions & rationale · Adjusted Net Income""; ""Managerial P&L · Framework, reclassifications & tax-equivalency""",2026-08-13,3,Cost-to-serve levels Q1'25–Q2'26; ARPAC levels; unchanged KPI definitions; managerial framework description and non-audited status
06_candor-and-disclosure-quality,S10,Audited annual filing,`Nu Holdings Ltd. — Form 20-F`,FY2025,Non-IFRS Financial Measures and Reconciliations; Note 34 (Segment information); Item 6.A,2026-04-08,5,Adjusted Net Income definition and reconciliation; single-segment position; geographic split; filing-timeliness series
06_candor-and-disclosure-quality,S11,Audited annual filing,`Nu Holdings Ltd. — Form 20-F`,FY2023,Segment information note,2024-04-19,5,"The seven named geographies later collapsed into ""Other countries"""
06_candor-and-disclosure-quality,S12,Audited annual filings (set),`Nu Holdings Ltd. — Form 20-F`,"FY2021, FY2022, FY2024",Filing cover dates,2022-04-21; 2023-04-20; 2025-04-16,5,"Filing-timeliness series (A7-01 reference, owned by `12`)"
06_candor-and-disclosure-quality,S13,Interim financial statements,`Nu Holdings Ltd. — Form Interim Report` (Q2 FY26 condensed consolidated),Three and six months to 2026-06-30,Statements of income,2026-08-14,5,"Q2'26 income taxes 175,224 on pre-tax 1,236,313 = 14.2% IFRS ETR"
06_candor-and-disclosure-quality,S14,Cross-module analysis,`analyses/NU_2026-09-06/earnings/06_earnings-quality.md`,FY2021–H1'26,§4 Non-GAAP Adjustments; §5 One-Off Items; §7 Reported vs Adjusted; §8 Accounting Traps,2026-09-06,4,Non-IFRS aggressiveness cross-check; SBC recurrence; CSLL remeasurement recurrence; adjusted-gap trend
06_candor-and-disclosure-quality,S15,Cross-module analysis,`analyses/NU_2026-09-06/earnings/04_guidance-consensus.md`,FY2026,§2 Management Guidance; §6 Historical Beat/Miss; §7 Bar Assessment,2026-09-06,4,Guidance inventory; 96.7% tax share of the Q2'26 beat; beat/miss record
06_candor-and-disclosure-quality,S16,Cross-module analysis,`analyses/NU_2026-09-06/management-governance/01_management-and-track-record.md`,FY2021–Q2'26,§2 Management Stability; §4 Promise vs Delivery; §4A Filters 1 & 2,2026-09-06,4,The miss list assessed in Section 1; unannounced departures; confirmation no integrity signal was routed
06_candor-and-disclosure-quality,S17,Cross-module analysis,`analyses/NU_2026-09-06/business-model/03_segment-map.md`,FY2023–Q2'26,§1 Segment Table; §3 Segment Disclosure Quality,2026-09-06,4,Single-segment position; narrowing of the geographic breakdown; ~23.4% of income outside the geographic split
07_people-integrity-dossiers,S-01,Annual filing (primary),`Nu Holdings Ltd. Form 20-F filed on Apr-08-2026`,FY2025,"Item 4 (history, incorporation, subsidiaries)",2026-04-08,5,"Lineage block, founding-year test, subsidiary register"
07_people-integrity-dossiers,S-02,Annual filing (primary),same,FY2025,Item 6.A (Board of Directors; Management Team),2026-04-08,5,"Every person's role, age, tenure, outside boards, credentials"
07_people-integrity-dossiers,S-03,Annual filing (primary),same,FY2025,Item 7.A (Major Shareholders) fn.2–fn.6,2026-04-08,5,"Rua California, Victory Lane, the promoter-group vehicles, spouse holdings"
07_people-integrity-dossiers,S-04,Notes to accounts (primary),same,FY2025,Note 28(a) fn.(i) and Note 28(b) (Related parties),2026-04-08,5,"The unnamed RPT counterparty, its class and amounts"
07_people-integrity-dossiers,S-05,Annual filing (primary),same,FY2025,Item 16G (home-country practice; incorporation name),2026-04-08,5,Former-names test (A17-02)
07_people-integrity-dossiers,S-06,Annual filing (primary),`Nu Holdings Ltd. Form 20-F filed Apr-21-2022`,FY2021,"""founders"" definition; Registration Rights Agreement Schedule A",2022-04-21,5,Recovery of Adam Edward Wible as a named co-founder; CHJZ Investments Ltd.; Daniel Allen Wible
07_people-integrity-dossiers,S-07,Exchange filing (primary),"SEC Form 6-K, AGM notice — director nominees a–i",2026,`nu20260706_6k1.htm`,2026-07-06,5,Resolved the board roster (A17-10); Moritz and Campos Neto both absent
07_people-integrity-dossiers,S-08,Exchange filing (primary),"SEC Form 6-K, AGM results",2026,"Proposal 2 — re-election passed, 96.23% of votes cast",2026-08-06,5,Vote tally — hand to `05` for A10-03
07_people-integrity-dossiers,S-09,Exchange filing (primary),"SEC Form 6-K, CFO appointment",2026,`nu20260601_6k.htm`,2026-06-01,5,"Livingston's appointment, background and the succession framing"
07_people-integrity-dossiers,S-10,Ownership filing (primary),SEC Schedule 13G/A — Rua California Ltd.,2024–2026,Reporting-person cover pages,read 2026-09-06,5,"Rua California's existence, address and reporting compliance"
07_people-integrity-dossiers,S-11,Vendor export,"`CIQ Public Ownership → Insider Trading` (Form 4-sourced, 46 rows)",to 2026-08-26,Full sheet,data as of 2026-08-26,3,The 2026-08-07 director grant cohort — the evidence behind the Moritz conflict
07_people-integrity-dossiers,S-12,Vendor export,`CIQ Corporate Structure Tree`,~Aug-2026,45 rows below the parent,data as of Aug-2026,3,"Entity register, subsidiary naming patterns"
07_people-integrity-dossiers,S-13,Vendor export,`CIQ Board Members` / `Committees` / `Professionals`,~Aug-2026,Full sheets,data as of Aug-2026,3,Seed roster; the Campos Neto board mis-classification (resolved on S-02/S-07)
07_people-integrity-dossiers,S-14,Vendor export,`CIQ Key Developments`,to Aug-2026,AGM agenda; CFO change,data as of Aug-2026,3,AGM agenda; executive-change dates
07_people-integrity-dossiers,S-15,Registry record,"Brazilian CNPJ record for Nu Pagamentos S.A., CNPJ 18.236.120/0001-58 (via Receita-Federal-derived aggregators)",current,"Status, opening date, legal nature, name history",read 2026-09-06,4,"The lineage anchor: opened 04/06/2013, active, no former name"
07_people-integrity-dossiers,S-16,IP registry,"USPTO records via Justia Trademarks — serials 86386363 (NUBANK), 86963402 (NU BANK)",current,Proprietor field,read 2026-09-06,4,A17-04: marks owned by Nu Pagamentos S.A.
07_people-integrity-dossiers,S-17,Arbitration record,"WIPO Arbitration & Mediation Center, UDRP D2019-3138",2019,Decision text,read 2026-09-06,4,Brand-ownership history; Nu Pagamentos = complainant
07_people-integrity-dossiers,S-18,Court record,"`Nu Pagamentos S.A. v. Nubank.com`, M.D. Fla. 3:21-cv-00507",filed 2021-05-13,Docket caption,read 2026-09-06,4,Party posture verbatim — Nu Pagamentos is plaintiff
07_people-integrity-dossiers,S-19,Company website (first-party),`investidores.nu/governance/board-of-directors/`,current,Board roster,fetched 2026-09-06,4,D-1 completion; corroborates the nine-director board
07_people-integrity-dossiers,S-20,Company website (first-party),`international.nubank.com.br/company/…` — Campos Neto appointment; Lightspark partnership,2024–2025,Release text,fetched 2026-09-06,4,Appointment terms; partnership date (2024-06-25)
07_people-integrity-dossiers,S-21,Reputable news,Metrópoles · Bloomberg Línea · Gazeta do Povo · Times Brasil (CNBC) · BPMoney,Aug-2026,"Casas Bahia RJ filing, debt figure, board departures",read 2026-09-06,2,RF-NET-003 evidence base — five independent outlets on the same facts
07_people-integrity-dossiers,S-22,Reputable news,Exame · CNN Brasil · Seu Dinheiro,Nov–Dec 2019,"Via Varejo accounting fraud, R$1.190bn, complaints Sep–Oct 2019",read 2026-09-06,2,A16-18 timing — Calderón joined in the clean-up month
07_people-integrity-dossiers,S-23,Reputable news,Money Times · InfoMoney · CartaCapital · Gazeta do Povo,2019–2024,Campos Neto offshore vehicles; CEP proceeding; TRF-1; STF termination,read 2026-09-06,2,A16-10 / A16-05 for Campos Neto — mainstream confirmation of union-sourced buzz
07_people-integrity-dossiers,S-24,Reputable news,bne IntelliNews; Reuters-sourced coverage,2025,Rival-bank conflict-of-interest concerns; quarantine end 2025-07-01,read 2026-09-06,2,A16-14 revolving-door read
07_people-integrity-dossiers,S-25,Advocacy media (buzz tier),Sindicato dos Bancários (spbancarios) · CUT/Contraf · TVT News · Brasil 247,2025,Campos Neto conflict-of-interest commentary,read 2026-09-06,1,Treated as buzz only and chased to S-23/S-24. Never the sole basis for any finding
07_people-integrity-dossiers,S-26,Reputable news,CNBC · PYMNTS · Al Jazeera · Cointelegraph · The Block,2022–2023,Sequoia's US$210m FTX write-down; the investor class actions,read 2026-09-06,2,Leone's exposure basis; RF-NET-003 non-fire adjudication
07_people-integrity-dossiers,S-27,Reputable news,NBC News · Axios · TechTarget · TechCrunch,2020–2023,Joe Sullivan conviction and sentencing; Uber 2016 breach,read 2026-09-06,2,Pham's A16-18 read — the concealment was the CSO's
07_people-integrity-dossiers,S-28,Reputable news / private-market data,Forbes · Bloomberg · Preqin · Crunchbase,2022–2026,"Lightspark founding, founders, funding; Lead Bank profile; Moritz post-Sequoia",read 2026-09-06,2,Phase-2 founder loop on Lightspark; Lead Bank sweep
07_people-integrity-dossiers,S-29,Cross-module input,`analyses/NU_2026-09-06/business-model/01_disqualifier-scan.md`,2026-09-06,Row 6 (§24 Filter 1 integrity check),2026-09-06,4,Confirms nothing was routed to chase; RF-MGT-005 does not fire
07_people-integrity-dossiers,S-30,Cross-module input,`analyses/NU_2026-09-06/management-governance/00_governance-data-triage.md`,2026-09-06,"§5, §5E, §5E.3, §5A",2026-09-06,4,Seed Person & Entity Register; identity/lineage anchors; the conditional cap this agent re-tested
08_audit-and-assurance-quality,S1,Annual filing (20-F),`Nu_Holdings_Ltd_-_Form_20-F(Apr-08-2026).pdf`,FY2025,"Report of Independent Registered Public Accounting Firm, pp.F-3 to F-6",2026-04-08,5,"Opinion, ICFR opinion, CAM, auditor tenure, absence of a divided-responsibility paragraph (08-005, 08-007, 08-011, 08-015)"
08_audit-and-assurance-quality,S2,Annual filing (20-F),same,FY2025,"Item 16C, Principal Accountant Fees and Services, p.241",2026-04-08,5,"Fee table FY2025 and FY2024, fee-category definitions, pre-approval policy (08-009, 08-010)"
08_audit-and-assurance-quality,S3,Annual filing (20-F),same,FY2025,"Item 16F, p.242",2026-04-08,5,"""Change in Registrant's Certifying Accountant: None"" (08-001, 08-013)"
08_audit-and-assurance-quality,S4,Annual filing (20-F),same,FY2025,"Items 6.C, 16A, 16B, 16D, 16G",2026-04-08,5,"Committee membership and duties, financial expert designation, code of ethics, FPI accommodations (08-019, 08-020)"
08_audit-and-assurance-quality,S5,Annual filing (20-F),same,FY2025,Item 15.A–D (controls and procedures); cover page (error-correction and 10D-1 boxes),2026-04-08,5,"Management ICFR conclusion, absence of restatement (08-007, 08-008)"
08_audit-and-assurance-quality,S6,Annual filing (20-F),same,FY2025,"Item 4.B — Brazilian regulation (CMN Res. 4,879, 4,910, 4,968, 4,595; BCB Res. 93, 130, 260) and risk-management three-line model",2026-04-08,5,"Audit-firm and audit-team rotation rules, internal-audit mandate, internal-controls officer, committee cadence (08-001, 08-002, 08-017, 08-020)"
08_audit-and-assurance-quality,S7,Annual filing (20-F),same,FY2025,Consolidated statements of financial position; Item 4.B (131 million customers); Item 6.F,2026-04-08,5,"Total assets US$74,893,877k / US$49,931,214k; customer count; no-restatement statement (08-003, 08-008, 08-010)"
08_audit-and-assurance-quality,S8,Annual filing (20-F),`Nu_Holdings_Ltd_-_Form_20-F(Apr-16-2025)`,FY2024,"Audit report p.F-3 (""Change in accounting method – Crypto Assets""); Note 1(c)",2025-04-16,5,"FY2024 unqualified opinions and the SAB 122 explanatory paragraph (08-005, 08-006)"
08_audit-and-assurance-quality,S9,Annual filing (20-F),`Nu_Holdings_Ltd_-_Form_20-F(Apr-20-2023)`,FY2022,Audit report; Item 15.B; Item 3.D,2023-04-20,5,"First ICFR attestation; material-weakness remediation statement; FY2022 CAMs (08-007, 08-015)"
08_audit-and-assurance-quality,S10,Annual filing (20-F),`Nu_Holdings_Ltd_-_Form_20-F(Apr-21-2022)`,FY2021,Cover page (404(b) box); Item 3.D risk factors p.23; audit report,2022-04-21,5,"The two pre-IPO material weaknesses and the 404(b) transition; FY2021 CAMs (08-007, 08-015)"
08_audit-and-assurance-quality,S11,Annual filing (20-F),`Nu_Holdings_Ltd_-_Form_20-F(Apr-19-2024)`,FY2023,Audit report,2024-04-19,5,"FY2023 opinions and CAMs (08-005, 08-015)"
08_audit-and-assurance-quality,S12,Interim filing,`Nu_Holdings_Ltd_-_Form_Interim_Report(Aug-14-2026)`,Q2 FY2026,"Independent Auditors' Report on Review, dated 2026-08-13",2026-08-14,5,Clean interim review conclusion; auditor still in the chair (08-013)
08_audit-and-assurance-quality,S13,Vendor export (CIQ),"`Nu Holdings Ltd NYSE NU Auditors.xls`, sheet Auditors",FY2020–FY2026 window,Period Audited / Auditor / Opinion / Entity,export ~Aug-2026,4,"Unqualified opinions FY2020–FY2025; only ""Self"" listed, no subsidiary auditor row (08-005, 08-012)"
08_audit-and-assurance-quality,S14,Vendor export (CIQ),`Nu Holdings Ltd NYSE NU Committees.xls`,current,Audit Committee / Risk Committee membership,export ~Aug-2026,4,Committee membership cross-check (Section 1)
08_audit-and-assurance-quality,S15,Vendor export (CIQ),"`Nu Holdings Ltd. (NYSE_NU) Corporate Structure Tree.xls`, sheets 1 and Aggregates",current,"34 subsidiary/operating units; 23 LatAm, 11 US/Canada",export ~Aug-2026,4,Subsidiary population for A4-03 (08-012)
08_audit-and-assurance-quality,S16,Vendor export (CIQ),`Nu Holdings Ltd NYSE NU Key Developments.rtf`,to Aug-2026,"""Executive Change – CFO"", Jun-01/03-2026, effective 2026-07-13",export ~Aug-2026,4,"CFO succession terms, transition period, Special Advisor role (08-014, 08-021)"
08_audit-and-assurance-quality,S17,Deterministic facts sidecar,`ciq_facts.json`,FY2021–FY2025 + LTM Jun-2026,"`multi_year_trajectory`, `geographic`",2026-09-06,4,"Revenue trajectory 5,513 → 6,991 for the fee-vs-scale test; Brazil/Mexico/Colombia revenue split (08-010, Section 5)"
08_audit-and-assurance-quality,S18,Cross-module output,`analyses/NU_2026-09-06/business-model/01_disqualifier-scan.md`,2026-09-06,"Tests 1, 4, 5; routed-items list",2026-09-06,5,"Hard-lock deference, quoted verbatim (08-005, 08-008)"
08_audit-and-assurance-quality,S19,Cross-module output,`analyses/NU_2026-09-06/management-governance/00_governance-data-triage.md`,2026-09-06,Regime block; document inventory rows for auditor report and fee note; gap rows 28 and 27,2026-09-06,5,"Regime mapping; confirmation that the fee note exists and the signing partner does not (Section 1, cap check)"
08_audit-and-assurance-quality,S20,Cross-module output,`analyses/NU_2026-09-06/management-governance/01_management-and-track-record.md`,2026-09-06,Section 2 (senior departures); finding 01-007,2026-09-06,5,"Gatekeeper timeline; the routed audit-committee independence question (08-014, 08-021)"
08_audit-and-assurance-quality,S21,"Web — regulator release (dated, unverified)","PCAOB, ""PCAOB Sanctions Nine KPMG Global Network Firms…""",2025,news release; order 105-2025-008 referenced,2025-03-11,2,"RF-AUD-007: censure, Rule 3211 / AS 1301 / Rule 2200 / QC violations, US$3.375m total (08-004, 08-011)"
08_audit-and-assurance-quality,S22,"Web — regulator posting (dated, unverified)","PCAOB inspection-report postings — expanded report, KPMG Auditores Independentes Ltda.",original report 2021-07-06,Part II quality-control section made public,2025-09-25,2,RF-AUD-007: failure to remediate QC criticisms within 12 months (08-004)
08_audit-and-assurance-quality,S23,"Web — regulator release (dated, unverified)","CVM, ""CVM aceita proposta de Termo de Compromisso com KPMG Auditores Independentes Ltda. e seu responsável técnico"" — PAS CVM 19957.004339/2023-17 (Luggo FII, FY to 30-Jun-2020)",2025,news release,2025-05-20,2,"RF-AUD-007: R$1,782,000 firm + R$99,000 partner settlement (08-004)"
08_audit-and-assurance-quality,S24,"Web — regulator releases (dated, unverified)","CVM acquittals — Copel FY2015 (judged 2025-09-02) and Odontoprev FY2023 (judged 2025-12-16), both unanimous",2025,news releases / rapporteur report PAS 19957.021470/2024-11,2025-12-16,2,Exculpatory balance in the A4-13 record (08-004)
08_audit-and-assurance-quality,S25,"Web — press (dated, unverified)",Brazilian press reporting of the CVM accusation against KPMG and partner Carla Bellangero re Americanas S.A. FY2017–FY2018,opened 2024-11-26,news reports,2024-11-26,2,"Pending allegation, recorded as an allegation not a finding (08-004)"
08_audit-and-assurance-quality,S26,"Web — benchmark data (dated, unverified)","TheCorporateCounsel.net, ""Audit Fees: 20 Years of Trend Data"", citing Ideagen Audit Analytics (6,600+ registrants)",2024 data,blog post,2025-10,2,Average audit fee US$3.26m for the A4-07 level test (08-010)
08_audit-and-assurance-quality,S27,"Web — press (dated, unverified)",CFO Dive / Accounting Today / King & Spalding summaries of the 2025-03-11 PCAOB orders,2025,articles / client note,2025,2,Per-firm penalty attribution — contested across sources and expressly not relied on (08-004)
09_related-party-and-group-forensics,S-01,Audited annual filing (20-F),`data/NU/Nu_Holdings_Ltd_-_Form_20-F(Apr-08-2026)`,FY2025,"Note 28 (Related parties), p.F-77 to F-78",2026-04-08,5,"The FY2025 / FY2024 RPT ledger; Note 28(a) fn.(i) verbatim; KMP compensation 91,269 / 96,007 / 60,117"
09_related-party-and-group-forensics,S-02,Audited annual filing (20-F),same,FY2025,"Note 3 (Basis of consolidation), p.F-19",2026-04-08,5,The six named subsidiaries with control basis and 3-year interest; the regulatory asset-transfer restriction; consolidated investment funds
09_related-party-and-group-forensics,S-03,Audited annual filing (20-F),same,FY2025,"Item 7.B (Related Party Transactions), p.205-206",2026-04-08,5,The March-2024 RPT policy; investors' rights agreement; indemnification provisions
09_related-party-and-group-forensics,S-04,Audited annual filing (20-F),same,FY2025,Item 7.A (Major Shareholders),2026-04-08,5,"Rua California Ltd. — 901,624,498 Class B shares, 100% controlled by David Velez Osorno"
09_related-party-and-group-forensics,S-05,Audited annual filing (20-F),same,FY2025,Note 11 (Cash and cash equivalents) + Note 11(i); Consolidated Balance Sheet,2026-04-08,5,"Cash US$15,003,643k / US$9,185,742k; US$899,809k pledged; total assets US$74,893,877k; total equity US$11,321,562k"
09_related-party-and-group-forensics,S-06,Audited annual filing (20-F),same,FY2025,Note 24 (Borrowings and financings) — Guarantees and (iii),2026-04-08,5,"DFC guarantee to Nu Colombia Financiera; margin loan US$1,868,626k / US$201,493k"
09_related-party-and-group-forensics,S-07,Audited annual filing (20-F),same,FY2025,"Item 8.A (Legal Proceedings, dividends); Item 3.D (holding-company risk factor); full-text sweep Notes 1-37",2026-04-08,5,"Subsidiary dividend restrictions; the ""no unconsolidated SPE"" negative; FIDC control obtained Nov-2024"
09_related-party-and-group-forensics,S-08,Audited annual filing (20-F),`data/NU/Nu_Holdings_Ltd_-_Form_20-F(Apr-16-2025)`,FY2024,Note 28 (Related parties); Note 25 (Guarantees),2025-04-16,5,"FY2024 RPT balance (1,795); FY2023 comparative (nil); extinguished Nu Mexico guarantees"
09_related-party-and-group-forensics,S-09,Audited annual filing (20-F),`data/NU/Nu_Holdings_Ltd_-_Form_20-F(Apr-19-2024)`,FY2023,Note 27 (Related parties),2024-04-19,5,"""the Company did not have any transactions with other related parties""; Rodamoinho relationship end date"
09_related-party-and-group-forensics,S-10,Audited annual filing (20-F),`data/NU/Nu_Holdings_Ltd_-_Form_20-F(Apr-20-2023)`,FY2022,Note 25 (Related parties),2023-04-20,5,"FY2022 balance 316 and expense (1,112); Rodamoinho and Reprograma named; the director's departure Sept-2022"
09_related-party-and-group-forensics,S-11,Audited annual filing (20-F),`data/NU/Nu_Holdings_Ltd_-_Form_20-F(Apr-21-2022)`,FY2021,Note 24 (Related parties),2022-04-21,5,"FY2021 balance 299 and expense (1,685); the Series G-1 share sale to board members and its unreconciled total"
09_related-party-and-group-forensics,S-12,Interim filing (unaudited),`data/NU/Nu_Holdings_Ltd_-_Form_Interim_Report(Aug-14-2026)`,H1 2026,"Note 28 (Related parties), p.34",2026-08-14,5,"The 30-Jun-2026 balance of 265, confirming the arrangement is unwinding"
09_related-party-and-group-forensics,S-13,Material-event filing (6-K),"Nu Holdings 6-K, `nu20260720_6k.htm`",2026-07-20,Share purchase agreement announcement,2026-07-20,5,"Banco Porto Real acquisition — 100%, banking-licence rationale, BACEN condition"
09_related-party-and-group-forensics,S-14,Cross-module agent output,`analyses/NU_2026-09-06/management-governance/07_people-integrity-dossiers.md`,2026-09-06,"Sections 0, 3, 3B, 4; `entity_network.json`",2026-09-06,4,"The discovered network baseline for Sections 7, 10, 10A and 13; the Lightspark identification (re-verified here against the filing)"
09_related-party-and-group-forensics,S-15,Cross-module agent output,`analyses/NU_2026-09-06/management-governance/10_contingent-liabilities-and-commitments.md`,2026-09-06,Section 5 (Guarantees); row 10-008,2026-09-06,4,"The A7a-06 guarantee quantification, cross-referenced and counted once"
09_related-party-and-group-forensics,S-16,Cross-module agent output,`analyses/NU_2026-09-06/business-model/01_disqualifier-scan.md`,2026-09-06,Row 3 (RPT >25%),2026-09-06,4,"The hard-lock status (N) — referenced, never re-decided"
09_related-party-and-group-forensics,S-17,Cross-module agent output,`analyses/NU_2026-09-06/earnings/01_historical-financials.md`,FY2021-FY2025,Annual table,2026-09-06,4,"Revenue and net-income denominators — used, not recomputed"
09_related-party-and-group-forensics,S-18,Data vendor (tier 5),`Nu Holdings Ltd. (NYSE_NU) Corporate Structure Tree.xls` — Capital IQ,retrieved 2026-08-29,Corporate Tree + Aggregates + Filtered Count,2026-08-29,3,34 entities; 0 associates/JVs/minority holdings; parentage chains; Verios and Nu Financeira financials
09_related-party-and-group-forensics,S-19,Data vendor (tier 5),`Nu Holdings Ltd NYSE NU Customers.xls` + `Suppliers.xls` + `relationships.json`,last 2 years,Customers (1 row) / Suppliers (10 rows),retrieved 2026-08-29,3,The round-tripping cross-year name match. Scope note honoured verbatim; never cited as a filing
09_related-party-and-group-forensics,S-20,Data vendor (tier 5),`Transaction Summary M A Private Placements.xls`; `Investment Analysis Direct Investments.xls`; `Key Developments.rtf` — Capital IQ,10-year history,Transaction and development rows,retrieved 2026-08-29,3,The A5-09 aborted-deal sweep; the eight historic acquisitions; Banco Porto Real target financials
09_related-party-and-group-forensics,S-21,IP registry,"USPTO records via Justia Trademarks — serials 86386363 (NUBANK), 86963402 (NU BANK)",current,Proprietor field,read 2026-09-06,4,A5-02 / A17-04: the marks sit inside the consolidated group
09_related-party-and-group-forensics,S-22,"Reputable web, dated and labelled unverified",Company newsroom / PRNewswire — Nubank-Lightspark partnership,2024-06-25,Release text,read 2026-09-06,2,The Q2-2024 date that anchors the Note 28(a) counterparty identification
09_related-party-and-group-forensics,S-23,"Reputable web, dated and labelled unverified",Grupo Rodamoinho official site; Finextra; Crowdfund Insider; fintech.global,2026-07 to 2026-09,Article text,read 2026-09-06,2,The Rodamoinho founder identification (labelled inference); Banco Porto Real deal rationale
