id,section,test,flag,finding,confidence,source,owner_agent
A13-05,A13,Second-level team quality & bench *(01)*,Green,"Named leaders cover finance, technology, risk, legal, and people functions; detailed succession planning is not disclosed.",5,"[FY26 DEF 14A, Executive Officers, pp.47–48]",management-and-track-record
A13-06,A13,Family dynamics / succession disputes,Green,No family-control dispute identified.,3,"[FY25 DEF 14A, Executive Officers; web sweep, 2026-09-23]",people-integrity-dossiers
A13-07,A13,Promoter's other material businesses,Not Applicable,No promoter group identified.,5,"[FY25 DEF 14A, Beneficial Ownership]",people-integrity-dossiers
A13-08,A13,Sensitive government dealings,Amber,Government contacts are not evidence of discretionary dependence.,3,"[U.S. Treasury calendars, 2023 Q4 and 2025-03]",people-integrity-dossiers
A13-09,A13,Political connect,Green,No political office or party role identified.,3,"[FY25 DEF 14A, Executive Officers; web sweep, 2026-09-23]",people-integrity-dossiers
A14-01,A14,Leverage level (governance lens) *(owner: 11)*,Green,Low strict-basis leverage.,5,"[balance-sheet-survival/01, §§6–7]",accounting-forensics
A14-02,A14,Loans & advances level *(owner: 11)*,Insufficient Data,Other-assets lines cannot be treated as loans.,4,"[Visa FY25 Form 10-K, p.59]",accounting-forensics
A14-03,A14,Quality of lenders / bankers *(owner: 12)*,Insufficient Data,No-draw condition is not a lender-quality test.,3,$7bn revolver with no FY2025 draw; bank names undisclosed.,regulatory-legal-and-compliance
A15-01,A15,Exchange surveillance & volatility,Insufficient Data,India ASM/GSM is inapplicable and no comparable NYSE history was supplied.,3,"[management-governance/00_governance-data-triage, 2026-09-23, File Inventory]",ownership-and-insider-behavior
A15-02,A15,Volume & liquidity,Insufficient Data,Market value and holder count do not establish average daily traded value.,4,"[Capital IQ Public Ownership Summary, Ownership Summary / Institutional Ownership Details — vendor export]",ownership-and-insider-behavior
A15-03,A15,Research coverage,Insufficient Data,Target-price data exists but contributor count and independence are unstated.,3,"[data/V/ciq_facts.json, `consensus_view`; management-governance/00_governance-data-triage, 2026-09-23, File Inventory]",ownership-and-insider-behavior
A15-04,A15,Pre-announcement price conduct,Insufficient Data,"Largest open-market sales followed Q2/Q3 releases, but plan attribution and daily price-volume analysis are missing.",4,"[data/V/ciq_facts.json, `insider_open_market`; Capital IQ Public Ownership→Insider Trading — vendor export; Q2 FY26 Financial Results Presentation, pp.1–2; Q3 FY26 earnings release, pp.1–2]",ownership-and-insider-behavior
A16-01,A16,Identity resolution,Amber,Most people lack a public registry ID; namesake protocol used.,4,"[Visa Form 4 index, 2026-02-18; FY25 DEF 14A]",people-integrity-dossiers
A16-02,A16,"Directorship map (current, past, struck-off)",Insufficient Data,No U.S. national officer registry; no undisclosed directorship asserted.,2,"[FY25 DEF 14A; OpenCorporates route, 2026-09-23]",people-integrity-dossiers
A16-03,A16,Disqualification registers,Amber,Direct SALI access unavailable.,3,"[SEC enforcement indexed searches, 2026-09-23]",people-integrity-dossiers
A16-04,A16,Criminal proceedings & arrests,Amber,Convicted same-name Michigan officer excluded; no nationwide clearance.,3,"[DOJ Ryan McInerney release, 2021-09-09; Visa Form 4 index, 2026-02-18]",people-integrity-dossiers
A16-05,A16,Civil / commercial litigation history,Amber,Civil allegations only; Cai dismissed with leave.,5,"[Cai order, 2025-12-10; Kaur docket, 2025-03-26]",people-integrity-dossiers
A16-06,A16,Securities-regulator actions,Amber,Not a complete administrative clearance.,3,"[SEC enforcement indexed searches, 2026-09-23]",people-integrity-dossiers
A16-07,A16,Wilful-defaulter / fraud-borrower lists,Insufficient Data,RBI route does not apply; comparable screen unavailable.,1,"[Governance database protocol, US core set]",people-integrity-dossiers
A16-08,A16,Insolvency history — the corporate-graveyard test,Insufficient Data,No complete prior-entity mapping.,2,"[OpenCorporates/CourtListener route, 2026-09-23]",people-integrity-dossiers
A16-09,A16,Sanctions & watchlists,Amber,Direct primary sanctions search unavailable.,2,"[OpenSanctions indexed searches, 2026-09-23]",people-integrity-dossiers
A16-10,A16,PEP status & political exposure,Green,No political office or party role identified.,3,[FY25 DEF 14A; U.S. Treasury calendars],people-integrity-dossiers
A16-11,A16,Credential verification,Insufficient Data,No contradictory evidence; primary checks not completed.,2,"[FY25 DEF 14A; Visa 8-K, 2023-06-20]",people-integrity-dossiers
A16-12,A16,"Adverse media (dated, tiered)",Amber,"Court records, not media, support the limited item.",4,[Cai order; Kaur docket],people-integrity-dossiers
A16-13,A16,Undisclosed related entities,Insufficient Data,Graph scope too narrow for full registry-outward web.,2,"[FY25 DEF 14A, Certain Relationships; CIQ relationship graph]",people-integrity-dossiers
A16-14,A16,Regulatory-role conflicts,Green,None identified.,3,"[FY25 DEF 14A, Director Nominees and Executive Officers]",people-integrity-dossiers
A16-15,A16,Integrity buzz (forums / social — tier 10),Green,Namesake records investigated; no RF-MGT-005.,3,"[business-model/01_disqualifier-scan, §2; Sweep Log]",people-integrity-dossiers
A16-16,A16,Per-person overall grade,Amber,Minor grades solely civil-litigation status.,4,[Section 1 roll-up],people-integrity-dossiers
A16-17,A16,"Resignation-timing pattern — the ""smart rat"" test",Insufficient Data,No complete directorship map.,2,"[OpenCorporates route, 2026-09-23]",people-integrity-dossiers
A16-18,A16,Association with past accounting failures,Amber,Court did not reach falsity or scienter.,3,"[Cai order pp.9–11, 2025-12-10]",people-integrity-dossiers
A16-19,A16,Professional-licence discipline,Insufficient Data,Professional-discipline records not fully checked.,2,[FY25 DEF 14A],people-integrity-dossiers
A16-20,A16,Public claims vs filed numbers,Amber,No falsity conclusion; no personal stock-promotion fact.,4,"[Cai order pp.5, 9–11, 2025-12-10]",people-integrity-dossiers
A17-01,A17,Discovery completeness,Amber,"Phase 2 ran, but entity branches remain declared.",4,[Section 0; Sweep Log],people-integrity-dossiers
A17-02,A17,Corporate lineage & former names,Green,1958 claim reconciles to 2007 parent.,5,"[Visa About page; Visa 10-K, Item 1, 2015]",people-integrity-dossiers
A17-03,A17,Predecessor / phoenix test,Amber,No phoenix fact found; legal sweep pending.,3,[Visa About page; pending-12 reconciliation],people-integrity-dossiers
A17-04,A17,Brand & trademark ownership,Green,Historical entities fit disclosed brand chain.,5,"[FY25 10-K, Item 1; USPTO TTABVUE]",people-integrity-dossiers
A17-05,A17,Registered-address cluster,Insufficient Data,No result is not a full address sweep.,2,"[OpenCorporates query, 2026-09-23]",people-integrity-dossiers
A17-06,A17,Founder & past-controller trail,Amber,Dee Hock identified; two entity founders unresolved.,4,"[Visa, Dee Hock: In memoriam, 2022-07-20]",people-integrity-dossiers
A17-07,A17,Cross-linkage to adverse networks,Green,No RF-NET-003 fact identified; legal sweep pending.,2,[Sections 2B and 3],people-integrity-dossiers
A17-08,A17,Undisclosed-network reconciliation,Amber,No omission proved; entity leads unresolved.,3,[Section 4; CIQ relationship graph scope notes],people-integrity-dossiers
A17-09,A17,Scope boundary declared,Green,No silent truncation.,5,[Section 5],people-integrity-dossiers
A17-10,A17,Aggregator-conflict resolution,Green,"Same-name records were excluded, not misattributed.",4,"[DOJ release, 2021-09-09; Georgia filing, 2020-06-17; Visa SEC filings]",people-integrity-dossiers
